id,x,y
110,555080.4,376710.7
111,555072.8,376731.8
112,555077.8,376774.1
113,555079.1,376785.0
114,555217.7,376980.7
115,555235.0,376985.8
116,555323.1,377136.5
117,555381.8,377222.2
118,555446.9,377338.7
119,555483.9,377443.1
120,555499.1,377522.3
121,554967.3,377247.1
122,554947.4,377248.9
123,554783.0,377328.6
124,554645.3,377445.1
125,554592.9,377416.8
126,554944.2,377150.4
127,554909.9,377087.5
128,554841.9,376965.2
129,554773.3,376841.7
130,554724.9,376753.7
131,554715.2,376736.1
132,554693.4,376696.5
133,554639.3,376598.3
134,554565.2,376464.5
135,554475.8,376303.6
136,554419.8,376202.9
137,554364.6,376088.6
138,554364.9,376066.4
139,554291.5,375976.6
140,554247.6,375893.3
141,554201.1,375807.2
142,554195.2,375812.0
143,554189.2,375816.7
144,554086.8,375881.7
145,553969.5,375956.2
146,553861.8,376025.0
147,553758.1,376090.4
148,553654.8,376155.9
149,553554.5,376219.3
150,553436.2,376294.8
151,553337.9,376357.2
152,553239.8,376419.5
153,553135.2,376485.8
154,553038.9,376546.9
155,554119.4,375660.5
156,554046.9,375530.3
157,553988.4,375558.0
158,553875.6,375625.4
159,553756.5,375679.9
160,553686.9,375721.6
161,553595.4,375775.5
162,553502.7,375832.6
163,553428.8,375878.2
164,553346.9,375928.6
165,553302.4,375972.5
166,553145.1,376069.4
167,553040.9,376133.7
168,552934.7,376199.1
169,552835.7,376260.2
170,552838.4,376197.8
171,552773.0,376106.7
172,552775.0,376099.7
173,552777.0,376092.7
174,552738.0,376005.7
175,552731.0,375987.0
176,552706.7,375971.1
177,552550.0,375791.2
178,552544.1,375772.2
179,552523.3,375750.6
180,552379.0,375530.4
181,552374.0,375513.1
182,552770.9,376102.7
183,552768.9,376098.6
184,552353.3,375529.1
185,552356.3,375511.7
186,552359.3,375494.2
188,552726.8,376327.3
189,552606.2,376401.6
190,552504.5,376464.3
191,552395.2,376531.7
192,552291.4,376595.8
193,552207.9,376543.9
194,552209.5,376544.3
195,552122.7,376460.6
196,551967.9,376369.0
197,551899.5,376316.1
198,551804.1,376208.9
199,551750.1,376096.3
200,551742.8,376077.3
201,551744.9,376077.3
202,551479.8,375943.3
203,551495.7,375964.8
204,551507.6,375980.8
205,551489.3,375969.5
206,551467.5,375940.0
207,551479.1,375912.8
208,551751.3,376085.5
209,551752.5,376074.8
210,551685.3,375931.4
211,551695.5,375924.2
212,551705.7,375916.9
213,551690.9,375917.6
214,551680.7,375924.9
215,551508.5,375909.6
216,551500.9,375899.7
217,551493.4,375889.7
219,552208.2,376647.1
220,552100.2,376713.6
221,551991.7,376780.5
222,551878.7,376851.4
223,553200.3,375842.1
224,553174.0,375809.5
225,553107.3,375727.1
226,553094.7,375711.5
227,553050.0,375610.0
228,553492.3,375792.0
229,553485.2,375772.1
230,553416.7,375670.0
231,553348.7,375565.2
232,553310.2,375505.9
233,553416.9,375430.7
234,553487.4,375383.2
235,553235.9,375391.3
236,553177.4,375301.1
237,553184.9,375170.4
238,553997.8,375439.7
239,553950.6,375325.8
240,553923.8,375276.3
241,553861.6,375161.5
242,553804.2,375056.0
243,553759.2,374971.1
244,553749.9,374953.5
245,553698.6,374825.4
246,553647.9,374813.6
247,553573.8,374797.7
248,553545.7,374792.1
249,553470.5,374776.7
250,553313.8,374744.7
251,553196.7,374720.7
252,553109.1,374702.8
253,553033.3,374687.3
254,552949.3,374670.1
255,552851.6,374650.2
256,552728.8,374625.5
257,552627.1,374603.7
258,552498.9,374558.1
259,552454.4,374540.5
260,552463.1,374591.1
261,552470.6,374612.3
262,552517.3,374728.3
263,552516.8,374866.1
264,552387.1,374949.6
265,552249.4,375036.7
266,552131.8,375087.5
267,551972.1,375153.3
268,551816.9,375212.9
269,551651.6,375277.0
270,551540.2,375320.0
271,551452.2,375383.4
272,551326.1,375505.0
273,551217.8,375624.8
274,551701.0,375285.4
275,551729.9,375307.7
276,551764.4,375396.0
277,551810.3,375503.6
278,551878.7,375600.1
279,552017.0,375697.4
280,552136.6,375797.2
281,552221.1,375897.2
282,552310.4,376027.3
283,552332.5,374465.1
284,552253.3,374417.4
285,552145.5,374355.4
286,552044.9,374297.3
287,551949.1,374234.3
288,551824.0,374182.6
289,551713.3,374144.0
290,551594.8,374102.4
291,551474.6,374060.8
292,551348.1,374032.1
293,551202.9,373982.0
294,551056.9,373946.4
295,551091.1,373906.8
296,551104.2,373891.7
297,551159.8,373744.0
298,551234.5,373520.9
299,551253.2,373374.5
300,551270.7,373258.4
301,551284.5,373140.3
302,551299.0,373018.4
303,551312.5,372952.6
304,551365.8,372798.5
305,551406.3,372690.4
306,551251.3,373524.5
307,551268.0,373528.0
308,551406.3,373446.4
309,551531.7,373372.4
310,551657.7,373298.0
311,551786.6,373233.6
312,551903.3,373198.7
313,552028.1,373168.9
314,552139.5,373141.9
315,552263.2,373112.0
316,552388.7,373081.4
317,552492.4,373079.7
318,552531.0,373248.6
319,552579.9,373423.9
320,552458.5,372869.5
321,552596.9,372830.3
322,552734.6,372784.3
323,550948.6,373921.4
324,550844.5,373890.5
325,550748.5,373868.4
326,550605.0,373835.4
327,550483.7,373814.1
328,550397.3,373792.9
329,550240.9,373748.0
330,550130.9,373714.8
331,549984.5,373670.4
332,549913.8,373647.9
333,549774.8,373605.4
334,549704.1,373582.8
335,549530.7,373535.0
336,549340.1,373492.2
337,549257.1,373477.4
338,549243.1,373463.1
339,549064.5,373447.6
340,548927.0,373422.8
341,548811.5,373382.9
342,548731.8,373318.8
